City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,sao filipe,14.8961,-24.4956,22.56,75,90,1.74,CV,1681348312
159,mehamn,71.0357,27.8492,-2.05,79,12,5.28,NO,1681348312
160,bandarbeyla,9.4942,50.8122,27.29,78,74,2.54,SO,1681348312
161,yei,4.095,30.6779,20.5,88,100,0.84,SS,1681348312
162,palmer,42.1584,-72.3287,19.56,49,0,0.0,US,1681348312
163,coquimbo,-29.9533,-71.3436,15.85,88,0,2.57,CL,1681347797
164,bubaque,11.2833,-15.8333,24.89,76,96,5.74,GW,1681348313
165,taoudenni,22.6783,-3.9836,25.82,9,100,4.16,ML,1681348313
166,alta floresta,-9.8756,-56.0861,23.21,94,100,1.19,BR,1681348313
167,huarmey,-10.0681,-78.1522,25.14,79,100,3.39,PE,1681348313
168,lompoc,34.6391,-120.4579,14.88,74,40,10.29,US,1681348158
169,chakulia,22.4833,86.7167,29.14,17,0,1.86,IN,1681348314
170,ahuimanu,21.4447,-157.8378,28.84,68,40,9.77,US,1681348314
171,tuatapere,-46.1333,167.6833,13.4,82,91,3.98,NZ,1681348314
172,tessalit,20.1986,1.0114,28.19,9,100,2.37,ML,1681348314
173,minas de barroteran,27.6333,-101.2833,24.3,35,0,8.0,MX,1681348314
174,morant bay,17.8815,-76.4093,26.51,84,20,2.85,JM,1681348315
175,salalah,17.0151,54.0924,27.05,78,40,1.54,OM,1681348016
176,narsaq,60.9167,-46.05,1.12,81,100,1.77,GL,1681348315
177,mar del plata,-38.0023,-57.5575,11.16,90,40,3.6,AR,1681348315
178,lata,40.1629,-8.3327,12.67,70,100,1.76,PT,1681348315
179,kavaratti,10.5669,72.642,28.45,75,80,3.24,IN,1681348316
180,new norfolk,-42.7826,147.0587,17.18,65,67,0.45,AU,1681348316
181,loviisa,60.4566,26.2251,5.72,95,100,5.85,FI,1681348316
182,mattawa,46.7379,-119.9028,12.79,36,99,6.24,US,1681348316
183,galeana,24.8333,-100.0667,13.11,81,75,2.96,MX,1681348316
184,angoche,-16.2325,39.9086,23.5,92,40,2.92,MZ,1681348317
185,mildura,-34.2,142.15,16.71,83,91,5.87,AU,1681348317
186,coihaique,-45.5752,-72.0662,1.97,80,0,0.0,CL,1681348317
187,puerto carreno,6.189,-67.4859,29.16,62,100,2.81,CO,1681348317
188,haimen,23.1935,116.6142,21.07,70,60,6.22,CN,1681348317
189,santo amaro da imperatriz,-27.6881,-48.7786,23.9,68,100,1.16,BR,1681348069
190,boende,-0.2167,20.8667,21.4,89,100,0.05,CD,1681348318
191,old town,50.087,14.4202,10.82,88,20,5.66,CZ,1681348220
192,champoton,19.35,-90.7167,24.96,70,1,4.07,MX,1681348182
193,fortuna,40.5982,-124.1573,10.19,68,6,4.47,US,1681348318
194,saskylakh,71.9167,114.0833,-9.71,93,100,6.43,RU,1681348319
195,seoul,37.5683,126.9778,11.76,38,20,3.09,KR,1681347819
196,qaanaaq,77.484,-69.3632,-18.02,67,0,1.02,GL,1681348319
197,barahona,18.2085,-71.1008,24.65,86,21,1.66,DO,1681348319
198,beringovskiy,63.05,179.3167,-15.42,84,100,5.05,RU,1681348320
199,talcahuano,-36.7167,-73.1167,12.82,94,100,3.09,CL,1681348320
200,alofi,-19.0595,-169.9187,28.94,65,75,6.69,NU,1681348320
201,pisco,-13.7,-76.2167,24.03,78,0,8.23,PE,1681348320
202,haines junction,60.7522,-137.5108,0.17,66,100,1.93,CA,1681348321
203,tuktoyaktuk,69.4541,-133.0374,-19.62,85,44,4.76,CA,1681348321
204,vestmannaeyjar,63.4427,-20.2734,6.1,67,23,2.94,IS,1681348321
205,arraial do cabo,-22.9661,-42.0278,24.16,86,100,8.17,BR,1681348321
206,todos santos,23.45,-110.2167,19.25,81,100,3.8,MX,1681348322
207,ponta delgada,37.7333,-25.6667,15.4,82,75,2.06,PT,1681348322
208,norman wells,65.282,-126.8329,-0.25,91,100,0.58,CA,1681348322
209,huangzhai,38.0751,112.6595,10.23,45,100,1.21,CN,1681348322
210,tiksi,71.6872,128.8694,-21.05,99,97,2.16,RU,1681348322
211,hasaki,35.7333,140.8333,17.94,33,0,3.09,JP,1681348323
212,bara,10.3744,10.7288,25.92,20,6,3.39,NG,1681348323
213,georgetown,5.4112,100.3354,29.97,70,20,1.03,MY,1681348222
214,aripuana,-9.1667,-60.6333,22.54,97,96,0.37,BR,1681348324
215,coahuayana,18.7333,-103.6833,24.66,63,28,1.8,MX,1681348324
216,luanda,-8.8368,13.2343,23.0,94,75,2.06,AO,1681348136
217,okahandja,-21.9833,16.9167,17.51,34,6,1.67,NA,1681348325
218,cherskiy,68.75,161.3,-16.99,85,100,1.86,RU,1681348325
219,mangan,27.5167,88.5333,20.92,42,0,1.75,IN,1681348325
220,andros town,24.7,-77.7667,22.98,76,98,7.16,BS,1681348325
221,banff,51.1762,-115.5698,1.0,73,100,1.64,CA,1681348288
222,bakau,13.4781,-16.6819,23.08,64,0,2.06,GM,1681348326
223,boueni,-12.9025,45.0761,25.99,70,64,0.75,YT,1681348326
224,acheng,45.5454,126.977,7.07,28,0,2.64,CN,1681348326
225,mega,4.05,38.3,14.82,86,98,3.03,ET,1681348326
226,sitka,57.0531,-135.33,4.94,75,100,6.17,US,1681348327
227,celestun,20.8667,-90.4,24.52,68,0,4.7,MX,1681348327
228,the valley,18.217,-63.0578,26.01,78,99,5.94,AI,1681348327
229,payo,-3.7508,103.6372,24.74,84,100,0.18,ID,1681348327
230,dakar,14.6937,-17.4441,22.49,85,43,6.58,SN,1681348283
231,tres picos,15.8667,-93.5333,28.25,65,51,0.5,MX,1681348329
232,khatanga,71.9667,102.5,-17.79,70,0,9.93,RU,1681348329
233,sangar,63.9242,127.4739,-2.61,95,100,2.04,RU,1681348329
234,kormilovka,55.0026,74.1028,1.92,71,8,4.2,RU,1681348329
235,ostrovnoy,68.0531,39.5131,-10.25,93,100,2.88,RU,1681348330
236,portobelo,9.55,-79.65,25.62,88,22,4.59,PA,1681348330
237,champerico,14.3,-91.9167,29.35,63,100,2.75,GT,1681348330
238,san juan,-31.5375,-68.5364,16.11,56,100,8.31,AR,1681348240
239,tutoia,-2.7619,-42.2744,26.17,82,87,3.14,BR,1681348331
240,verkh-usugli,52.7,115.1667,1.95,54,27,0.72,RU,1681348331
241,filimonovo,56.2011,95.4611,-1.48,62,85,6.32,RU,1681348331
242,srednekolymsk,67.45,153.6833,-12.16,76,93,1.14,RU,1681348331
243,talnakh,69.4865,88.3972,-24.93,94,100,2.86,RU,1681348332
244,mana,5.6592,-53.7767,25.55,87,100,3.17,GF,1681348332
245,esperance,-33.8667,121.9,20.93,55,0,4.65,AU,1681348332
246,miranda,3.2499,-76.2281,20.1,95,100,1.66,CO,1681348332
